company_name,title,link,date,ESG topic,ESG score,sentiment score
INTESA SANPAOLO SPA,"The archiving of the data in the spotlight of the security commission
Italian after the violation of understanding",https://it.marketscreener.com/quotazioni/azione/INTESA-SANPAOLO-S-P-A-68944/attualita/L-archiviazione-dei-dati-sotto-i-riflettori-della-commissione-di-sicurezza-italiana-dopo-la-violazio-48130547/,19 ore fa,Product Liability,0.7090328931808472,4
INTESA SANPAOLO SPA,What do we know about the violation of the data of Intesa Sanpaolo?,https://it.marketscreener.com/quotazioni/azione/INTESA-SANPAOLO-S-P-A-68944/attualita/Cosa-sappiamo-della-violazione-dei-dati-di-Intesa-Sanpaolo-48129483/,21 ore fa,Business Ethics & Values,0.8800608515739441,1
INTESA SANPAOLO SPA,"Sustainable leadership, in Cattolica the Italian top players",https://www.ansalatina.com/lombardia/notizie/universita_cattolica_del_sacro_cuore/2024/10/15/leadership-sostenibile-in-cattolica-i-top-player-italiani_c1372919-71ab-42ba-9cf3-d5e01acd9505.html,1 settimana fa,Non-ESG,0.42831483483314514,5
INTESA SANPAOLO SPA,"Understood, for Palenzona affair spy accounts not affect ""value assets for
the country """,https://it.marketscreener.com/quotazioni/azione/INTESA-SANPAOLO-S-P-A-68944/attualita/Intesa-per-Palenzona-vicenda-conti-spiati-non-inficia-asset-di-valore-per-il-paese-48080309/,1 settimana fa,Community Relations,0.9160522222518921,3
INTESA SANPAOLO SPA,"The Italian company Intesa said she had alerted the authorities on the
violation of safety after carrying out checks",https://it.marketscreener.com/quotazioni/azione/INTESA-SANPAOLO-S-P-A-68944/attualita/L-azienda-italiana-Intesa-ha-dichiarato-di-aver-allertato-le-autorita-sulla-violazione-della-sicure-48071061/,1 settimana fa,Business Ethics & Values,0.8136751055717468,1
INTESA SANPAOLO SPA,"Intesa is under investigation after the violation of safety by a
former employee, as reported by the ANSA",https://it.marketscreener.com/quotazioni/azione/INTESA-SANPAOLO-S-P-A-68944/attualita/Intesa-e-sotto-inchiesta-dopo-la-violazione-della-sicurezza-da-parte-di-un-ex-dipendente-come-ripo-48070624/,1 settimana fa,Human Capital,0.6427200436592102,1
INTESA SANPAOLO SPA,"Investigation investigated on abusive access to computer systems ex
Employee - ANSA",https://it.marketscreener.com/quotazioni/azione/INTESA-SANPAOLO-S-P-A-68944/attualita/Intesa-indagata-su-inchiesta-accesso-abusivo-a-sistemi-informatici-ex-dipendente-Ansa-48070443/,1 settimana fa,Business Ethics & Values,0.5463641285896301,1
INTESA SANPAOLO SPA,"Intesa Sanpaolo S.p.A.: Goldman Sachs reiterates the positive judgment on
title",https://it.marketscreener.com/quotazioni/azione/INTESA-SANPAOLO-S-P-A-68944/attualita/INTESA-SANPAOLO-S-P-A-Goldman-Sachs-ribadisce-il-giudizio-positivo-sul-titolo-47974270/,3 settimane fa,Business Ethics & Values,0.7033319473266602,1
INTESA SANPAOLO SPA,"Intesa Sanpaolo studies Plan voluntary exit 3,000 workers - sources
union",https://it.marketscreener.com/quotazioni/azione/INTESA-SANPAOLO-S-P-A-68944/attualita/Intesa-Sanpaolo-studia-piano-uscita-volontaria-3-000-lavoratori-fonti-sindacali-47900108/,1 mese fa,Human Capital,0.9846618175506592,1
INTESA SANPAOLO SPA,"Intesa provides up to 3,000 voluntary personnel early exits of the staff,
the unions say",https://it.marketscreener.com/quotazioni/azione/INTESA-SANPAOLO-S-P-A-68944/attualita/Intesa-prevede-fino-a-3-000-uscite-anticipate-volontarie-del-personale-dicono-i-sindacati-47900085/,1 mese fa,Human Capital,0.9901601672172546,1
FIS CAPITAL MARKETS US LLC,"Climate regulatory and reporting solution of the year: Highly Commended,
FIS Climate Risk Financial Modeler",https://www.insuranceerm.com/content/awards/insuranceerms-global-climate-risk-and-sustainability-awards-2024/winners/climate-regulatory-and-reporting-solution-of-the-year-highly-commended-fis-climate-risk-financial-modeler.html,1 giorno fa,Climate Change,0.9951967597007751,5
FIS CAPITAL MARKETS US LLC,FIS Named one of the 2024 “World’s Best Companies” by TIME,https://www.businesswire.com/news/home/20240925163220/en/FIS-Named-one-of-the-2024-%E2%80%9CWorld%E2%80%99s-Best-Companies%E2%80%9D-by-TIME,1 mese fa,Corporate Governance,0.5280253887176514,5
FIS CAPITAL MARKETS US LLC,WELCOME TO GLOBAL BANKING & MARKETS: SAUDI ARABIA 2025,https://globalbankingmarkets.com/events/capital-markets-saudi-arabia,1 mese fa,Community Relations,0.780913233757019,5
FIS CAPITAL MARKETS US LLC,"Here's Why Fidelity National Information Services (NYSE:FIS) Has Caught The
Eye Of Investors",https://finance.yahoo.com/news/heres-why-fidelity-national-information-100659518.html,1 mese fa,Non-ESG,0.7112780809402466,1
